,assoc_req_count,assoc_succ_count,auths_count,deauth1_count,deauth2_count,deauth3_count,deauth_total,assoc_succ + auth
cc:66:0a:a2:d3:b5,151.0,151.0,154.0,152.0,119.0,7.0,278.0,305.0
f0:5c:19:b8:45:21,8.0,8.0,9.0,7.0,7.0,1.0,15.0,17.0
a0:4f:85:c9:41:15,196.0,196.0,198.0,190.0,176.0,6.0,372.0,394.0
88:19:08:11:b4:85,47.0,47.0,56.0,43.0,35.0,41.0,119.0,103.0
1a:a9:ce:69:b7:4f,29.0,29.0,31.0,26.0,21.0,4.0,51.0,60.0
ac:a3:1e:5a:5c:31,112.0,112.0,112.0,97.0,100.0,1.0,198.0,224.0
40:e3:d6:54:ef:11,8.0,8.0,8.0,8.0,6.0,0.0,14.0,16.0
70:3a:0e:53:47:f0,39.0,39.0,39.0,34.0,19.0,5.0,58.0,78.0
2c:f0:ee:0d:7c:08,2.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0
b8:d7:af:ae:95:c4,13.0,13.0,13.0,13.0,12.0,1.0,26.0,26.0
34:ab:37:cc:0f:15,4.0,4.0,4.0,2.0,0.0,2.0,4.0,8.0
24:1b:7a:91:12:1d,29.0,29.0,32.0,29.0,27.0,1.0,57.0,61.0
33:33:ff:00:ea:64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:5e:70,13.0,13.0,13.0,2.0,1.0,1.0,4.0,26.0
f0:5c:19:b9:0b:30,22.0,22.0,23.0,17.0,14.0,2.0,33.0,45.0
08:11:be:16:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dc:a9:04:7d:69:ff,18.0,18.0,21.0,23.0,16.0,6.0,45.0,39.0
ac:a3:1e:5a:ba:51,93.0,93.0,93.0,17.0,17.0,0.0,34.0,186.0
f0:ab:54:e4:2f:8f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:d2:13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76:99:67:d3:ac:5c,202.0,202.0,213.0,189.0,153.0,4.0,346.0,415.0
08:11:f0:57:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:db:01,7.0,7.0,7.0,7.0,3.0,0.0,10.0,14.0
10:98:c3:bb:0f:42,61.0,61.0,67.0,62.0,56.0,3.0,121.0,128.0
4e:74:7d:67:df:7e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c2:d2:f3:f3:ad:a9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4:49:bb:ba:0b:47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7c:57:3c:88:c5:b0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
9a:18:98:fb:9d:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c4:49:bb:d9:ea:c7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a8:86:dd:ac:a4:91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c6:d9:25:15:4d:63,77.0,77.0,80.0,78.0,69.0,3.0,150.0,157.0
00:00:00:00:13:75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48:4a:e9:d1:d9:31,94.0,94.0,102.0,92.0,73.0,8.0,173.0,196.0
48:4a:e9:d5:40:00,209.0,209.0,222.0,154.0,137.0,24.0,315.0,431.0
ec:2c:e2:7b:fc:2a,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
1c:36:bb:ed:1d:d5,12.0,12.0,12.0,12.0,11.0,1.0,24.0,24.0
8a:de:fb:64:d1:dc,54.0,54.0,54.0,53.0,45.0,3.0,101.0,108.0
e2:51:63:13:b5:8a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70:3a:0e:4f:ff:f1,7.0,7.0,7.0,5.0,5.0,0.0,10.0,14.0
b4:5d:50:13:80:20,331.0,331.0,360.0,308.0,244.0,73.0,625.0,691.0
ac:a3:1e:5a:63:e1,7.0,7.0,7.0,7.0,7.0,0.0,14.0,14.0
70:3a:0e:50:b0:80,29.0,29.0,31.0,18.0,25.0,4.0,47.0,60.0
28:ac:9e:03:d0:ee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:d8:f0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0
44:ad:b1:84:77:6e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5b:ac:20,12.0,12.0,12.0,12.0,8.0,0.0,20.0,24.0
f0:18:98:76:1d:cf,8.0,8.0,8.0,11.0,3.0,4.0,18.0,16.0
00:00:00:00:5b:e4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9a:18:98:fb:8f:a1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:ca:3e:00:3e:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:37:43:a7:05:f9,64.0,64.0,66.0,57.0,55.0,3.0,115.0,130.0
b6:1a:1d:35:f3:d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94:f6:d6:79:02:63,122.0,122.0,127.0,101.0,97.0,12.0,210.0,249.0
a0:4f:85:a1:3e:a4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b4:5d:50:12:c4:91,369.0,369.0,388.0,331.0,280.0,15.0,626.0,757.0
b4:5d:50:13:76:01,186.0,186.0,191.0,181.0,156.0,5.0,342.0,377.0
b4:5d:50:13:74:70,323.0,323.0,331.0,299.0,264.0,31.0,594.0,654.0
ba:9f:09:aa:1a:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6a:a4:43:00:3e:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8e:bd:00,1.0,1.0,4.0,1.0,1.0,1.0,3.0,5.0
10:79:40:99:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90:4c:81:8b:fc:11,42.0,42.0,42.0,42.0,41.0,0.0,83.0,84.0
ac:04:01:5f:95:11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ae:af:b0:00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
da:b2:78:f8:07:b9,126.0,126.0,137.0,120.0,110.0,3.0,233.0,263.0
48:4a:e9:98:04:51,21.0,21.0,21.0,20.0,19.0,0.0,39.0,42.0
80:8d:b7:7d:7e:30,175.0,175.0,189.0,155.0,121.0,29.0,305.0,364.0
04:80:06:43:29:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08:10:f5:eb:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fa:46:05:73:00:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ac:a3:1e:5b:94:e1,15.0,15.0,16.0,14.0,14.0,1.0,29.0,31.0
9e:18:88:fb:6f:23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46:42:32:66:74:b5,120.0,120.0,125.0,118.0,98.0,6.0,222.0,245.0
ac:a3:1e:54:19:40,6.0,6.0,6.0,6.0,6.0,3.0,15.0,12.0
ac:a3:1e:5a:ae:31,22.0,22.0,22.0,22.0,20.0,1.0,43.0,44.0
90:3a:72:06:d5:38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bc:09:63:2c:19:8b,31.0,31.0,31.0,26.0,22.0,4.0,52.0,62.0
84:d4:7e:68:a8:b1,6.0,6.0,6.0,6.0,6.0,0.0,12.0,12.0
f0:5c:19:b8:45:41,146.0,146.0,188.0,149.0,111.0,20.0,280.0,334.0
02:1e:bb:0d:ff:ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8c:57:9b:8b:eb:5b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f0:d5:bf:f7:ed:2e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38:17:c3:82:df:f1,89.0,89.0,89.0,89.0,84.0,0.0,173.0,178.0
